log,rvpnot,tlcv,mvo,as,sam,eav,et,enve,metric,method
BPIC13cp,5.240572542059008e-06,-3.0701043572643055e-05,-0.00014288345849705966,-2.303915465226916e-05,0.0007893714529472219,-0.0005710740257552048,-8.834306109810341e-06,-2.5142794366685844e-05,fitness,ilp
BPIC13inc,2.2540389640571257e-05,-5.72315745729704e-05,-0.00014416813794402433,2.2483850345027256e-05,0.0007450782006073048,-0.00046614002319823183,-6.727829751814601e-05,-3.536062068923776e-05,fitness,ilp
BPIC13op,7.219074218550725e-06,-3.3422058103638186e-05,-0.00014310632116104616,-2.652716341064454e-05,0.0007881160197542869,-0.000570954116188245,-1.2890281162851458e-05,-2.315608656447421e-05,fitness,ilp
BPIC16c_p,7.604639815719794e-05,1.1333110301950389e-06,-0.0001452844077675583,-2.8464605842305757e-05,0.0007903522601292873,-0.0005710738558629969,-4.82792564799224e-05,-0.00018429032228244394,fitness,ilp
BPIC16wm_p,-2.1775638979704137e-05,-8.528666494044684e-05,-3.6587103676086197e-06,-2.848552038923341e-05,0.00013709544461696505,-0.0005710740257551666,1.483740794280819e-05,0.0005531749457834967,fitness,ilp
BPIC17ol,-2.2339913007582424e-05,5.986084276351361e-05,0.0009579981756075093,2.475356900296516e-05,-0.0008963614669334694,-2.0141098398041013e-05,3.900722419483693e-05,-0.00011376707426028962,fitness,ilp
BPIC20a,-2.0304116789146565e-05,3.624922904795977e-05,-0.00010263998319296266,-1.3216344656525464e-05,0.0005844612164796585,-0.00046939736862744094,2.9187495119004786e-05,-1.783863203156863e-05,fitness,ilp
BPIC20d,-7.906052373052308e-07,3.892582809666631e-05,-0.00014195255653088115,-2.5720343779820493e-05,0.0007812896017673869,-0.000568285639099702,-1.965023958470924e-05,-4.023029768643327e-05,fitness,ilp
BPIC20e,-1.9518205146049072e-05,3.6548022355073484e-05,-0.00011442922046307757,-1.9020796912225246e-05,0.0006553539595960112,-0.0005450577629722286,2.7100209711448248e-05,-2.3791397332526693e-05,fitness,ilp
RTFMP,-2.207824070464548e-05,1.0962162715424245e-05,0.00012126726066357882,0.00014379984081707917,-0.005108928313707534,0.004923895075536533,3.210495085882378e-05,-7.758937750769468e-05,fitness,ilp
RWABOCSL,-4.239714694168062e-06,2.2961945180685617e-05,-0.00014114264034630064,-2.65633305214924e-05,0.000734171624743235,-0.0005706971596791052,1.4695093028697925e-05,-1.2008343062024085e-05,fitness,ilp
