mvo,rvpnot,tlcv,metric,miner
0.18986551858608658,0.16738732867178746,0.19481122373532445,fitness,heuristics
0.30348670721131854,0.21648018779072642,0.2606644375995605,precision,heuristics
0.22777142892865213,0.17056252410612027,0.1838279343678455,fscore,heuristics
10.269407825905,20.506695961498227,6.324963381460556,size,heuristics
6.040489642184558,11.889830508474576,3.6516007532956682,pnsize,heuristics
4.682046453232893,9.243251726302574,2.848713119899559,cfc,heuristics
0.14610244747671647,0.12158977691141433,0.012769114143383142,exectime,heuristics
10397.759348454489,8903.006219591967,10249.952126232267,benchtime,heuristics
0.33330846959886706,0.3333027617589802,0.3332846051604559,fitness,inductive
0.1854780950756669,0.11617402920268895,0.18481007298235563,precision,inductive
0.22091138664884416,0.14239846104112652,0.20858994760085997,fscore,inductive
10.179012345679011,13.679012345679014,9.179012345679013,size,inductive
5.376543209876543,10.265432098765432,6.876543209876543,pnsize,inductive
3.419753086419752,5.753086419753087,4.864197530864198,cfc,inductive
0.7503339404978748,0.3598330297510625,0.25316636308439594,exectime,inductive
-47846.02573807407,24991.41175792592,23513.52286903704,benchtime,inductive
0.330778590236217,0.31391520520882876,0.31643360812687554,fitness,imf
0.1921296529045332,0.1167440307944358,0.22242769076309166,precision,imf
0.23127909560002616,0.15381827868923584,0.24928692824822407,fscore,imf
13.296296296296296,13.907407407407407,9.907407407407407,size,imf
8.197530864197532,10.58641975308642,7.808641975308643,pnsize,imf
6.203703703703705,6.425925925925926,5.592592592592593,cfc,imf
0.4150000000000001,0.11555555555555554,-0.031666666666666655,exectime,imf
534.9677777777777,517.6905555555556,378.126111111111,benchtime,imf
0.2672777189890103,0.2648639838911136,0.24657766732066555,fitness,sm
0.19441016754315374,0.2772061806094077,0.26441783023204024,precision,sm
0.20215635429737258,0.2602347515878083,0.26012594469666733,fscore,sm
11.52469135802469,10.1358024691358,6.080246913580248,size,sm
6.913580246913582,5.91358024691358,3.6913580246913575,pnsize,sm
5.098765432098765,3.3209876543209877,2.6543209876543212,cfc,sm
4.118209876543211,2.6404320987654324,3.0609876543209884,exectime,sm
102.31475308641974,9.014753086419756,-49.758024691358024,benchtime,sm
0.3333246618185125,0.33332704210760966,0.3333235330544826,fitness,ilp
0.1595589607677751,0.2014335611955838,0.16154530633386083,precision,ilp
0.18784360250204404,0.23687946799842396,0.20371201124218283,fscore,ilp
18.209876543209877,24.04320987654321,11.820987654320986,size,ilp
6.2098765432098775,10.432098765432098,5.54320987654321,pnsize,ilp
6.296296296296297,7.296296296296295,2.7407407407407414,cfc,ilp
4.534259259259259,2.152037037037037,-0.5162962962962959,exectime,ilp
104.40783950617285,26.312839506172836,-33.37549382716051,benchtime,ilp
